Id,RecordTypeId,Name,IsPersonAccount,AccountId,LastName,FirstName,Salutation,OtherStreet,OtherCity,OtherState,OtherPostalCode,OtherCountry,OtherLatitude,OtherLongitude,OtherGeocodeAccuracy,MailingStreet,MailingCity,MailingState,MailingPostalCode,MailingCountry,MailingLatitude,MailingLongitude,MailingGeocodeAccuracy,Phone,Fax,MobilePhone,HomePhone,OtherPhone,AssistantPhone,ReportsToId,Email,Title,Department,AssistantName,LeadSource,Birthdate,Description,EmailBouncedReason,EmailBouncedDate,Jigsaw,IndividualId,HealthCloudGA__IndividualType__c,HealthCloudGA__SourceSystemId__c,HealthCloudGA__MedicalRecordNumber__c,HealthCloudGA__SourceSystem__c,HealthCloudGA__CountryOfBirth__c,HealthCloudGA__Gender__c,HealthCloudGA__PreferredName__c,HealthCloudGA__PrimaryLanguage__c,HealthCloudGA__SecondaryLanguage__c,HealthCloudGA__DeceasedDate__c,HealthCloudGA__ConvertedReferrals__c,HealthCloudGA__TotalReferrals__c,AlwaysTrue_c__c,RecordType.DeveloperName,Account.Name,ReportsTo.Name,Individual.Name
0033t000033wasFAAQ,0123t000000jtqnAAA,Marla Kissinger,false,0013t00001XWUNyAAP,Kissinger,Marla,Dr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Individual,,,Health1-00D1I000003oKaz,,,,,,,,,false,IndustriesBusiness;Contact,Ohana Health System,,
0033t000033wasGAAQ,0123t000000jtqmAAA,Cara Owens,false,0013t00001XWUO1AAP,Owens,Cara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Individual,,,Health1-00D1I000003oKaz,,,,,,,,,false,IndustriesIndividual;Contact,Cara Owens,,
0033t000033wasHAAQ,0123t000000jtqmAAA,Charles Manning,false,0013t00001XWUO2AAP,Manning,Charles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Individual,,,Health1-00D1I000003oKaz,,,,,,,,,false,IndustriesIndividual;Contact,Charles Manning,,
0033t000033wasIAAQ,0123t000000jtqnAAA,Carol Peterson,false,0013t00001XWUNxAAP,Peterson,Carol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Individual,,,Health1-00D1I000003oKaz,,,,,,,,,false,IndustriesBusiness;Contact,One Medical Group Inc,,
0033t000033wasJAAQ,0123t000000jtqnAAA,"Mina Patel, MD",false,0013t00001XWUNxAAP,"Patel, MD",Mina,Dr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Individual,,,Health1-00D1I000003oKaz,,,,,,,,,false,IndustriesBusiness;Contact,One Medical Group Inc,,
0033t000033wasKAAQ,0123t000000jtqnAAA,"Tony Secemsky, MD",false,0013t00001XWUNyAAP,"Secemsky, MD",Tony,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Individual,,,Health1-00D1I000003oKaz,,,,,,,,,false,IndustriesBusiness;Contact,Ohana Health System,,
0033t000033wasLAAQ,0123t000000jtqnAAA,Michael Grossman,false,0013t00001XWUNyAAP,Grossman,Michael,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Individual,,,Health1-00D1I000003oKaz,,,,,,,,,false,IndustriesBusiness;Contact,Ohana Health System,,
0033t000033wasMAAQ,0123t000000jtqmAAA,Bob Smith,false,0013t00001XWUO3AAP,Smith,Bob,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Individual,,,Health1-00D1I000003oKaz,,,,,,,,,false,IndustriesIndividual;Contact,Bob Smith,,
0033t000033wasNAAQ,0123t000000jtqmAAA,Florence Canna,false,0013t00001XWUO4AAP,Canna,Florence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Individual,,,Health1-00D1I000003oKaz,,,,,,,,,false,IndustriesIndividual;Contact,Florence Canna,,
0033t000033wasOAAQ,0123t000000jtqmAAA,Sarah Loehr,false,0013t00001XWUO5AAP,Loehr,Sarah,,,,,,,,,,1 Jones Ave,New York,NY,10010,United States,,,,5555551212,,,,,,,info@salesforce.com,,,,,,,,,,,Individual,,,,,,,,,,,,true,IndustriesIndividual;Contact,Sarah Loehr,,
0033t000033wasPAAQ,0123t000000jtqmAAA,Amy Huffman,false,0013t00001XWUO6AAP,Huffman,Amy,Dr.,718 Glenview Ave,Highland Park,IL,60035-2432,USA,,,,718 Glenview Ave,Highland Park,IL,60035-2432,USA,,,,(312) 555-1212,(408) 555-1277,(408) 555-1216,,,,,amyhuffman@gmail.com,,,,,,,,,,,Individual,,,Health1-00D1I000003oKaz,,,,,,,,,true,IndustriesIndividual;Contact,Makana Clinic*,,
0033t000033wasQAAQ,0123t000000jtqnAAA,John Smith,false,0013t00001XWUO7AAP,Smith,John,Dr.,,,,,,,,,50 Fremont st,San Francisco,CA,94105,United States,,,,650-123-4567,650-321-6453,,,,,,,,,,,,,,,,,Individual,,,Health1-00D3A000001biZH,,,,,,,,,true,IndustriesBusiness;Contact,Great Health Clinic,,
0033t000033wasRAAQ,0123t000000jtqmAAA,Gayathri Satish,false,0013t00001XWUO7AAP,Satish,Gayathri,Dr.,,,,,,,,,,,,,,,,,650-123-7654,,,,,,,,,,,,,,,,,,Individual,,,Health1-00D3A000001biZH,,,,,,,,,true,IndustriesIndividual;Contact,Great Health Clinic,,
