Id,RecordTypeId,Name,IsPersonAccount,LastName,FirstName,Salutation,Type,ParentId,BillingStreet,BillingCity,BillingState,BillingPostalCode,BillingCountry,BillingLatitude,BillingLongitude,BillingGeocodeAccuracy,ShippingStreet,ShippingCity,ShippingState,ShippingPostalCode,ShippingCountry,ShippingLatitude,ShippingLongitude,ShippingGeocodeAccuracy,Phone,Fax,Website,Industry,AnnualRevenue,NumberOfEmployees,Description,PersonMailingStreet,PersonMailingCity,PersonMailingState,PersonMailingPostalCode,PersonMailingCountry,PersonMailingLatitude,PersonMailingLongitude,PersonMailingGeocodeAccuracy,PersonOtherStreet,PersonOtherCity,PersonOtherState,PersonOtherPostalCode,PersonOtherCountry,PersonOtherLatitude,PersonOtherLongitude,PersonOtherGeocodeAccuracy,PersonMobilePhone,PersonHomePhone,PersonOtherPhone,PersonAssistantPhone,PersonEmail,PersonTitle,PersonDepartment,PersonAssistantName,PersonLeadSource,PersonBirthdate,PersonEmailBouncedReason,PersonEmailBouncedDate,PersonIndividualId,Jigsaw,AccountSource,SicDesc,OperatingHoursId,HealthCloudGA__CarePlan__c,HealthCloudGA__IndividualId__c,HealthCloudGA__IndividualType__c,HealthCloudGA__PrimaryContact__c,HealthCloudGA__SourceSystemId__c,HealthCloudGA__MedicalRecordNumber__c,HealthCloudGA__SourceSystem__c,Example__c,HealthCloudGA__Disabled__c,HealthCloudGA__EnrollmentType__c,HealthCloudGA__Institution__c,HealthCloudGA__LowIncome__c,HealthCloudGA__MedicaidEligibilityStatus__c,HealthCloudGA__MedicareEnrollee__c,HealthCloudGA__OREC__c,HealthCloudGA__Active__c,HealthCloudGA__PayerType__c,HealthCloudGA__TaxId__c,HealthCloudGA__IndividualType__pc,HealthCloudGA__SourceSystemId__pc,HealthCloudGA__MedicalRecordNumber__pc,HealthCloudGA__SourceSystem__pc,HealthCloudGA__CountryOfBirth__pc,HealthCloudGA__Gender__pc,HealthCloudGA__PreferredName__pc,HealthCloudGA__PrimaryLanguage__pc,HealthCloudGA__SecondaryLanguage__pc,HealthCloudGA__DeceasedDate__pc,HealthCloudGA__ConvertedReferrals__pc,HealthCloudGA__TotalReferrals__pc,AlwaysTrue_c__pc,RecordType.DeveloperName,Parent.Name,PersonIndividual.Name,OperatingHours.Name,HealthCloudGA__CarePlan__r.Subject,HealthCloudGA__PrimaryContact__r.Name
0013t00001XWUO1AAP,0123t000000jtqqAAA,Cara Owens,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0013A00001ZWdvCQAT1549602899275,Individual,0033t000033wasGAAQ,,,Health1-00D1I000003oKaz,,false,,false,false,false,,,,,,,,,,,,,,,,,,false,IndustriesIndividual;Account,,,,,Cara Owens
0013t00001XWUO2AAP,0123t000000jtqqAAA,Charles Manning,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0013A00001ZWdvHQAT1549603154047,Individual,0033t000033wasHAAQ,,,Health1-00D1I000003oKaz,,false,,false,false,false,,,,,,,,,,,,,,,,,,false,IndustriesIndividual;Account,,,,,Charles Manning
0013t00001XWUO3AAP,0123t000000jtqqAAA,Bob Smith,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0013A00001ZWdvWQAT1549606209645,Individual,0033t000033wasMAAQ,,,Health1-00D1I000003oKaz,,false,,false,false,false,,,,,,,,,,,,,,,,,,false,IndustriesIndividual;Account,,,,,Bob Smith
0013t00001XWUO4AAP,0123t000000jtqqAAA,Florence Canna,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0013A00001ZWdvgQAD1549606247945,Individual,0033t000033wasNAAQ,,,Health1-00D1I000003oKaz,,false,,false,false,false,,,,,,,,,,,,,,,,,,false,IndustriesIndividual;Account,,,,,Florence Canna
0013t00001XWUO5AAP,0123t000000jtqqAAA,Sarah Loehr,false,,,,,,1 Jones Ave,New York,NY,10010,United States,,,,,,,,,,,,5555551212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5003t00001AEjirAAD,0013A00001a13tQQAQ1551459207786,Individual,0033t000033wasOAAQ,,,,,false,,false,false,false,,,,,,,,,,,,,,,,,,false,IndustriesIndividual;Account,,,,Sarah Loehr's Care Plan,Sarah Loehr
0013t00001XWUO6AAP,0123t000000jtqrAAA,Makana Clinic*,false,,,,Other,,1704 Maple Ave Suite 100,Evanston,IL,60201,USA,,,,1704 Maple Ave Suite 100,Evanston,IL,60201,USA,,,,7734567890,7734567891,,Healthcare,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0013A00001avQ2fQAE1560287374789,,0033t000033wasPAAQ,,,Health1-00D1I000003oKaz,,false,,false,false,false,,,,,,,,,,,,,,,,,,false,IndustriesBusiness;Account,,,,,Amy Huffman
0013t00001XWUO7AAP,0123t000000jtqrAAA,Great Health Clinic,false,,,,,0013t00001XWUOFAA5,50 Fremont st,San Francisco,CA,94105,United States,,,,50 Fremont st,San Francisco,CA,94105,United States,,,,650-123-4567,650-321-6453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0013A00001f8nqzQAA1571709257616,,0033t000033wasRAAQ,,,Health1-00D3A000001biZH,,false,,false,false,false,,,,,,,,,,,,,,,,,,false,IndustriesBusiness;Account,California Healthcare Group,,,,Gayathri Satish
0013t00001XWUO8AAP,0123t000000jtqsAAA,Charles Green Household,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Group,,,,Health1-00D1I000003oKaz,,false,,false,false,false,,,,,,,,,,,,,,,,,,false,IndustriesHousehold;Account,,,,,
0013t00001XWUO9AAP,0123t000000jtqrAAA,Uber,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Health1-00D1I000003oKaz,,false,,false,false,false,,,,,,,,,,,,,,,,,,false,IndustriesBusiness;Account,,,,,
0013t00001XWUOAAA5,,Acme,false,,,,Prospect,,10 Main Rd.,New York,NY,31349,USA,,,,10 Main Rd.,New York,NY,31349,USA,,,,(212) 555-5555,(212) 555-5555,,Manufacturing,100000000,680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,false,false,false,,,,,,,,,,,,,,,,,,false,,,,,,
0013t00001XWUOBAA5,,salesforce.com,false,,,,Customer,,"The Landmark @ One Market, Suite 300",San Francisco,CA,94105,USA,,,,"The Landmark @ One Market, Suite 300",San Francisco,CA,94105,USA,,,,(415) 901-7000,(415) 901-7040,http://www.salesforce.com,Technology,,,"Founded in March 1999, salesforce.com (http://www.salesforce.com) builds and delivers customer relationship management (CRM) applications as scalable online services. The salesforce.com product suite - Team Edition, Professional Edition, Enterprise Edition, Wireless Edition and Offline Edition - gives companies of all sizes a complete 360-degree view of the customer. The company's award-winning CRM solutions provide integrated online sales force automation, customer service and support management, and marketing automation applications to help companies meet the complex challenges of global customer communication. Salesforce.com has received considerable recognition in the industry, including Editors' Choice and two Five-Star ratings from PC Magazine, two Deploy Awards from InfoWorld, Red Herring 100, Upside Hot 100, Investor's Choice Award from Enterprise Outlook, Editors' Choice from TMCLabs, Top 10 CRM Implementation from Aberdeen Group, and InfoWorld's 2001 CRM Technology of the Year. Founded in 1999, salesforce.com is headquartered in San Francisco, with offices in Europe and Asia.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,false,false,false,,,,,,,,,,,,,,,,,,false,,,,,,
0013t00001XWUOCAA5,,Global Media,false,,,,Prospect,,150 Chestnut Street,Toronto,Ontario,L4B 1Y3,Canada,,,,150 Chestnut Street,Toronto,Ontario,L4B 1Y3,Canada,,,,(905) 555-1212,,,Media,,14668,"GBM is the worldwide leader in technology news and information on the Web and the producer of the longest-running and farthest-reaching television shows about technology. GBM's network of sites combines breakthrough interactive technology with engaging content and design and is consistently ranked as the Internet's leading content network in terms of both audience size and revenue, serving millions of users each day. The company's television programming is broadcast by the USA Network and the Sci-Fi Channel to more than 70 million households and is syndicated to broadcast television stations in the nation's top 120 markets, including the top 10 markets.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,false,false,false,,,,,,,,,,,,,,,,,,false,,,,,,
0013t00001XWUODAA5,0123t000000jtqrAAA,Kanaka Pharmaceuticals,false,,,,,,50 Fremont st,San Francisco,CA,94105,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Health1-00D1I000003oKaz,,false,,false,false,false,,,,,,,,,,,,,,,,,,false,IndustriesBusiness;Account,,,,,
0013t00001XWUOEAA5,0123t000000jtqrAAA,Ohana Med,false,,,,,,1 Market Street,San Francisco,CA,94105,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Health1-00D1I000003oKaz,,false,,false,false,false,,,,,,,,,,,,,,,,,,false,IndustriesBusiness;Account,,,,,
0013t00001XWUOFAA5,0123t000000jtqrAAA,California Healthcare Group,false,,,,,,,,,,,,,,,,,,,,,,,,,Healthcare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Health1-00D3A000001biZH,,false,,false,false,false,,,,,,,,,,,,,,,,,,false,IndustriesBusiness;Account,,,,,
